Voltage (V),Current (A),Temperature (C),eRPM,Throttle Duty,Motor Duty,Phase Current (A),Power (W),Status 1,Status 2,Serial Number: 160268088
100.780785,0,41.2,272,2,2,0,0,1,0,
100.690697,1.6,41.14,608,2,2,0,161.11,1,0,
100.870872,0,41.14,643,4,2,0,0,1,0,
100.690697,0.6,41.14,2475,4,2,0,60.41,1,0,
100.570572,0,41.14,2608,5,2,0,0,1,0,
100.750755,-0.2,41.14,2635,5,3,0,-20.15,1,0,
100.810814,0.4,41.17,2565,5,3,0,40.32,1,0,
100.840843,-0.2,41.2,3296,5,3,0,-20.17,1,0,
100.870872,0,41.2,3785,5,3,0,0,1,0,
100.99099,0.2,41.2,3235,5,3,0,20.2,1,0,
100.690697,0,41.2,3923,5,4,0,0,1,0,
100.720726,1.4,41.17,4349,5,5,0,141.01,1,0,
100.810814,0.2,41.2,4290,5,5,0,20.16,1,0,
100.810814,0,41.17,4219,5,5,0,0,1,0,
100.750755,0.8,41.2,5625,5,5,0,80.6,1,0,
100.780785,0,41.14,5873,5,5,0,0,1,0,
100.780785,0.4,41.11,6455,5,5,0,40.31,1,0,
100.690697,0.6,41.14,6013,5,5,0,60.41,1,0,
100.870872,0,41.17,6480,5,5,0,0,1,0,
100.750755,0.6,41.17,6870,5,5,0,60.45,1,0,
100.840843,0.2,41.11,6247,5,5,0,20.17,1,0,
100.66066,0.2,41.17,6101,5,5,0,20.13,1,0,
100.900902,0.8,41.23,6608,5,5,0,80.72,1,0,
100.720726,-0.2,41.2,6983,5,5,0,-20.14,1,0,
100.900902,0,41.14,7043,5,5,0,0,1,0,
100.570572,0.6,41.14,7519,5,5,0,60.34,1,0,
100.99099,0,41.2,7082,5,5,0,0,1,0,
100.570572,0.8,41.23,7027,5,5,0,80.46,1,0,
100.870872,0.2,41.2,7435,5,5,0,20.17,1,0,
100.840843,0,41.17,8508,5,5,0,0,1,0,
100.840843,0.8,41.11,8237,5,5,0,80.67,1,0,
100.390396,0,41.17,7400,5,5,0,0,1,0,
100.780785,0.6,41.17,8926,5,5,0,60.47,1,0,
100.810814,0.2,41.17,8866,5,5,0,20.16,1,0,
100.840843,0,41.2,7750,5,5,0,0,1,0,
101.021027,0.6,41.14,8646,5,5,0,60.61,1,0,
100.720726,0.2,41.23,7740,5,5,0,20.14,1,0,
100.720726,-0.2,41.14,8676,5,5,0,-20.14,1,0,
100.750755,0.8,41.17,8166,5,5,0,80.6,1,0,
100.930931,0,41.17,9163,5,5,0,0,1,0,
100.810814,0.4,41.11,8497,5,5,0,40.32,1,0,
100.720726,0.8,41.11,8456,5,5,0,80.58,1,0,
100.96096,0,41.2,9423,5,5,0,0,1,0,
100.690697,0.8,41.17,8976,5,5,0,80.55,1,0,
100.780785,0,41.17,8586,5,5,0,0,1,0,
100.810814,0.2,41.2,8921,5,5,0,20.16,1,0,
