Voltage (V),Current (A),Temperature (C),eRPM,Throttle Duty,Motor Duty,Phase Current (A),Power (W),Status 1,Status 2,Serial Number: 3531369439
101.111115,0,26.95,443,1,2,0,0,1,0,
100.930931,2.4,26.95,623,3,2,0,242.23,1,0,
101.111115,0.6,26.87,1980,4,2,0,60.67,1,0,
101.021027,2,26.82,2115,4,2,0,202.04,1,0,
101.141144,0.6,26.82,2366,5,2,0,60.68,1,0,
100.99099,0.8,26.9,2644,5,3,0,80.79,1,0,
101.141144,0.8,26.9,3523,5,3,0,80.91,1,0,
101.171173,0,26.92,2369,5,3,0,0,1,0,
101.051056,0.8,26.85,3117,5,3,0,80.84,1,0,
101.111115,0.6,26.9,4361,5,3,0,60.67,1,0,
101.201202,0.4,26.95,3345,5,4,0,40.48,1,0,
101.051056,2.2,26.92,4618,5,5,0,222.31,1,0,
100.99099,1,26.9,6308,5,5,0,100.99,1,0,
101.051056,1,26.97,5912,5,5,0,101.05,1,0,
100.870872,1.2,26.92,4933,5,5,0,121.05,1,0,
101.141144,0.6,26.95,5274,5,5,0,60.68,1,0,
100.99099,1.2,26.95,5850,5,5,0,121.19,1,0,
101.111115,1,26.9,5652,5,5,0,101.11,1,0,
101.351357,1,26.95,6167,5,5,0,101.35,1,0,
101.081085,1.2,26.9,5658,5,5,0,121.3,1,0,
100.99099,0.6,26.9,7024,5,5,0,60.59,1,0,
101.081085,1,26.95,6255,5,5,0,101.08,1,0,
101.111115,1.2,26.95,6381,5,5,0,121.33,1,0,
100.96096,0.6,26.9,6987,5,5,0,60.58,1,0,
101.051056,1,26.9,6911,5,5,0,101.05,1,0,
101.111115,0.6,26.92,7214,5,5,0,60.67,1,0,
101.111115,0.8,26.95,7372,5,5,0,80.89,1,0,
100.99099,1.4,26.9,6826,5,5,0,141.39,1,0,
101.051056,0.6,26.92,7355,5,5,0,60.63,1,0,
100.99099,1,26.95,7549,5,5,0,100.99,1,0,
100.900902,1.4,26.97,6874,5,5,0,141.26,1,0,
101.111115,1,27.05,7296,5,5,0,101.11,1,0,
101.141144,1.2,26.95,7957,5,5,0,121.37,1,0,
101.111115,0.8,26.92,7873,5,5,0,80.89,1,0,
101.081085,0.8,26.97,8503,5,5,0,80.86,1,0,
101.141144,1.2,26.92,8438,5,5,0,121.37,1,0,
100.870872,0.8,26.92,7854,5,5,0,80.7,1,0,
101.051056,1.2,26.95,8715,5,5,0,121.26,1,0,
101.021027,0.8,26.92,7928,5,5,0,80.82,1,0,
101.141144,0.4,26.95,8836,5,5,0,40.46,1,0,
100.930931,1.4,26.95,8364,5,5,0,141.3,1,0,
100.99099,0.4,26.9,9245,5,5,0,40.4,1,0,
101.111115,0.6,26.95,8653,5,5,0,60.67,1,0,
101.081085,1.2,26.92,8363,5,5,0,121.3,1,0,
101.021027,0.4,26.95,9632,5,5,0,40.41,1,0,
101.051056,1,26.92,9370,5,5,0,101.05,1,0,
100.99099,1.2,26.95,8877,5,5,0,121.19,1,0,
101.141144,0.2,26.95,8152,5,5,0,20.23,1,0,
100.99099,1,26.87,9212,5,5,0,100.99,1,0,
100.96096,0.8,26.92,9094,5,5,0,80.77,1,0,
101.081085,0.8,26.95,9555,5,5,0,80.86,1,0,
101.081085,1.2,27,9265,5,5,0,121.3,1,0,
100.810814,0.4,26.97,9138,5,5,0,40.32,1,0,
101.201202,1,26.92,8779,5,5,0,101.2,1,0,
101.051056,1.2,26.92,10071,5,5,0,121.26,1,0,
101.141144,0.6,26.97,9623,5,5,0,60.68,1,0,
101.081085,1.4,26.95,8902,5,5,0,141.51,1,0,
101.051056,0.6,26.92,9544,5,5,0,60.63,1,0,
101.081085,0.8,26.97,9591,5,5,0,80.86,1,0,
100.870872,1.4,26.92,9596,5,5,0,141.22,1,0,
101.021027,0.6,27,9987,5,5,0,60.61,1,0,
101.141144,1,26.92,9813,5,5,0,101.14,1,0,
100.900902,0.8,27,9992,5,5,0,80.72,1,0,
101.201202,0.6,26.97,8895,5,5,0,60.72,1,0,
101.021027,1.2,26.87,10197,5,5,0,121.23,1,0,
101.111115,0.6,26.92,9184,5,5,0,60.67,1,0,
100.780785,0.8,26.97,10297,5,5,0,80.62,1,0,
100.930931,1.4,26.92,10258,5,5,0,141.3,1,0,
101.021027,0.6,27,9116,5,5,0,60.61,1,0,
101.021027,1,26.95,9358,5,5,0,101.02,1,0,
100.96096,0.8,26.97,9527,5,5,0,80.77,1,0,
101.351357,0.8,26.95,8801,5,5,0,81.08,1,0,
101.081085,1.2,27,9890,5,5,0,121.3,1,0,
101.231232,0.4,26.97,9948,5,5,0,40.49,1,0,
101.171173,1,26.97,9851,5,5,0,101.17,1,0,
100.99099,1.4,27.02,9112,5,5,0,141.39,1,0,
101.231232,0.2,27.02,10005,5,5,0,20.25,1,0,
101.051056,1.2,26.95,10296,5,5,0,121.26,1,0,
100.99099,0.6,26.9,10126,5,5,0,60.59,1,0,
100.930931,0.6,27,9646,5,5,0,60.56,1,0,
100.99099,1.4,26.95,10349,5,5,0,141.39,1,0,
101.111115,0.6,26.97,9722,5,5,0,60.67,1,0,
101.201202,0.6,26.92,10544,5,5,0,60.72,1,0,
100.930931,1.4,26.97,9579,5,5,0,141.3,1,0,
101.171173,0.4,27,10112,5,5,0,40.47,1,0,
101.081085,1,26.9,9642,5,5,0,101.08,1,0,
100.930931,0.6,26.95,10265,5,5,0,60.56,1,0,
101.201202,0.6,27,9545,5,5,0,60.72,1,0,
101.321327,1,26.95,10337,5,5,0,101.32,1,0,
101.051056,0.8,26.97,10057,5,5,0,80.84,1,0,
101.081085,0.8,26.97,10069,5,5,0,80.86,1,0,
101.261261,1.2,27,10070,5,5,0,121.51,1,0,
101.29129,0.8,27,10109,5,5,0,81.03,1,0,
100.99099,1.4,27.08,9912,5,5,0,141.39,1,0,
101.141144,0.6,26.95,9592,5,5,0,60.68,1,0,
101.141144,0.6,26.92,9380,5,5,0,60.68,1,0,
101.021027,1.6,27.02,10329,5,5,0,161.63,1,0,
100.99099,0.8,27.02,9616,5,5,0,80.79,1,0,
101.051056,1.2,27,10609,5,5,0,121.26,1,0,
100.99099,1,26.92,9518,5,5,0,100.99,1,0,
101.081085,0.6,27,10068,5,5,0,60.65,1,0,
100.99099,1,27,9694,5,5,0,100.99,1,0,
101.141144,0.4,26.95,9868,5,5,0,40.46,1,0,
100.870872,0.8,27,9930,5,5,0,80.7,1,0,
101.021027,1,26.97,9833,5,5,0,101.02,1,0,
100.930931,0.8,27,10402,5,5,0,80.74,1,0,
101.051056,1.2,26.92,10114,5,5,0,121.26,1,0,
100.99099,0.6,26.97,9732,5,5,0,60.59,1,0,
101.171173,0.4,27,10451,5,5,0,40.47,1,0,
100.99099,1.2,26.97,9896,5,5,0,121.19,1,0,
101.141144,0.6,26.95,10085,5,5,0,60.68,1,0,
100.99099,0.8,26.97,10168,5,5,0,80.79,1,0,
101.051056,0.8,27,9880,5,5,0,80.84,1,0,
100.96096,0.6,27.02,10216,5,5,0,60.58,1,0,
101.171173,0.8,26.95,10080,5,5,0,80.94,1,0,
101.021027,0.2,26.97,9690,5,5,0,20.2,1,0,
101.051056,0.6,27.02,9843,5,5,0,60.63,1,0,
100.96096,1.2,27.02,10234,5,5,0,121.15,1,0,
